UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.87_NO. 1,KELANTAN,P.87,ULU KELANTAN,NO. 1,ULU KELANTAN BARAT,PMIP,,4752,346,84.32,4007,,54,3953,MCA,WONG YEOW WYE,MALE,,1126,,PRM,CHE HUSSEIN ARO,MALE,,99,LOST DEPOSIT,PMIP,KHAIDIR KHATIB,MALE,,1472,,,,,,,,NEGARA,WAN YAACOB B. WAN AHMAD,MALE,,347,LOST DEPOSIT,INDEPENDENT,TUAN HJ MOHD YUSOFF BANGS,MALE,,853,,INDEPENDENT,MAT CHE LATEH,MALE,,56,LOST DEPOSIT
P.87_NO. 2,KELANTAN,P.87,ULU KELANTAN,NO. 2,ULU KELANTAN TIMOR,ALLIANCE - UMNO,,8451,1073,72.81,6153,,211,5942,UMNO,NGAH ALI,MALE,,3051,,LPM,JOHN,MALE,,305,LOST DEPOSIT,PMIP,WAN ISMAIL B. WAN AHMAD,MALE,,1978,,,,,,,,,,,,,,INDEPENDENT,HAJI NIK JAAFAR B. NIK SOH,MALE,,608,LOST DEPOSIT,,,,,,
P.87_NO. 3,KELANTAN,P.87,ULU KELANTAN,NO. 3,MACHANG SELATAN,PMIP,,9636,1779,80.19,7727,,82,7645,UMNO,USTAZ SALLEH ZAKI HUSSIN,MALE,,2655,,PRM,CHE WIL @ ISMAIL BIN OMAR,MALE,,241,LOST DEPOSIT,PMIP,HAJI MOHAMED NOOR B. HJ. YUSOFF,MALE,,4434,,,,,,,,NEGARA,MOHD GHAZALI B. HJ. NOH,MALE,,315,LOST DEPOSIT,,,,,,,,,,,,
P.88_NO. 4,KELANTAN,P.88,TANAH MERAH,NO. 4,MACHANG UTARA,PMIP,,9611,1632,84.04,8077,,148,7929,UMNO,IBRAHIM B. MOHAMAD,MALE,,2834,,,,,,,,PMIP,HAJI MOHAMAD B. NASIR,MALE,,4466,,,,,,,,NEGARA,MOHAMED TAIB B. HJ. IBRAHIM,MALE,,629,LOST DEPOSIT,,,,,,,,,,,,
P.88_NO. 5,KELANTAN,P.88,TANAH MERAH,NO. 5,TANAH MERAH TIMOR,PMIP,,8865,1090,74.60,6613,,178,6435,UMNO,OTHMAN B. AHMED,MALE,,2094,,PRM,MOHAMED B. ALI,MALE,,177,LOST DEPOSIT,PMIP,CHE' GU DAUD,MALE,,3184,,,,,,,,NEGARA,HAJI WAN YUSOF B. WAN ALI,MALE,,980,,,,,,,,,,,,,
P.88_NO. 6,KELANTAN,P.88,TANAH MERAH,NO. 6,TANAH MERAH BARAT,PMIP,,7317,2480,82.27,6020,,189,5831,UMNO,ABDUL GHANI B. MOHAMED,MALE,,765,,PRM,SAID B. AWANG,MALE,,144,LOST DEPOSIT,PMIP,YUSOFF B. AB. LATIF,MALE,,3345,,,,,,,,NEGARA,WAN JA'AFAR B. HJ. WAN MAHMOOD PENGLIMA BAYU,MALE,,712,LOST DEPOSIT,INDEPENDENT,HUSSIN DRIVER,MALE,,865,,,,,,,
P.89_NO. 7,KELANTAN,P.89,PASIR PUTEH,NO. 7,PASIR PUTEH UTARA,PMIP,,8300,3392,79.37,6588,,116,6472,UMNO,WAN ISMA' BT. HJ. ABD. KADIR,FEMALE,,1274,,PRM,MAT B. CHE' MOH,MALE,,106,LOST DEPOSIT,PMIP,TENGKU MOHAMED,MALE,,4666,,,,,,,,NEGARA,HASSAN B. YAACOB,MALE,,426,LOST DEPOSIT,,,,,,,,,,,,
P.89_NO. 8,KELANTAN,P.89,PASIR PUTEH,NO. 8,PASIR PUTEH TENGAH,PMIP,,8518,539,77.13,6570,,161,6409,UMNO,HAJI ABDUL RAHMAN B. HJ YUSOFF,MALE,,2826,,PRM,USTAZ ABDULLAH B. HJ. MOHAMED,MALE,,218,LOST DEPOSIT,PMIP,USTAZ WAN SULAIMAN,MALE,,3365,,,,,,,,,,,,,,,,,,,,,,,,,
P.89_NO. 9,KELANTAN,P.89,PASIR PUTEH,NO. 9,PASIR PUTEH TENGGARA,PMIP,,9508,2661,78.25,7440,,161,7279,UMNO,GHAZALI B. YUSOF,MALE,,2207,,PRM,HAJI ALIAS TOK IMAM,MALE,,204,LOST DEPOSIT,PMIP,USTAZ AB. RAHMAN,MALE,,4868,,,,,,,,,,,,,,,,,,,,,,,,,
P.90_NO. 10,KELANTAN,P.90,BACHOK,NO. 10,BACHOK UTARA,PMIP,,9546,4267,76.22,7276,,207,7069,UMNO,JAAFAR B. MOHAMAD,MALE,,1290,,,,,,,,PMIP,SHAFEI B. AHMAD,MALE,,5557,,,,,,,,NEGARA,HAJI NIK MOHD. SALLEH B. HAJI WAN MUSA,MALE,,222,LOST DEPOSIT,,,,,,,,,,,,
P.90_NO. 11,KELANTAN,P.90,BACHOK,NO. 11,BACHOK TENGAH,PMIP,,8104,3511,78.64,6373,,251,6122,UMNO,CHE WEL @ ISMAIL B. YUSOFF,MALE,,1022,,PRM,NIK MAT B. HAJI WAN HASSAN,MALE,,162,LOST DEPOSIT,PMIP,MOHD AMIN B. HAJI YAAKUB,MALE,,4533,,,,,,,,NEGARA,MOHAMED YUSOFF B. YAHYA,MALE,,405,LOST DEPOSIT,,,,,,,,,,,,
P.90_NO. 12,KELANTAN,P.90,BACHOK,NO. 12,BACHOK SELATAN,PMIP,,7732,3278,77.90,6023,,95,5928,UMNO,ISMAIL B. HAJI AHMAD,MALE,,1220,,PRM,NIK AB. MAJID B. NIK AB. RAHMAN,MALE,,105,LOST DEPOSIT,PMIP,HAJI OTHMAN B. HAJI ISMAIL,MALE,,4498,,,,,,,,NEGARA,HAJI MOKHTAR B. HAJI AHMAD,MALE,,40,LOST DEPOSIT,INDEPENDENT,OTHMAN ADAM,MALE,,65,LOST DEPOSIT,,,,,,
P.91_NO. 13,KELANTAN,P.91,PASIR MAS HILIR,NO. 13,TENDONG,PMIP,,7546,3001,78.73,5941,,81,5860,UMNO,MOHD. ZAIN B. HARUN,MALE,,1074,,PRM,MAT NOOR YUSOFF,MALE,,251,LOST DEPOSIT,PMIP,TUAN GURU HAJI CHE HASSAN,MALE,50,4075,,,,,,,,,,,,,,INDEPENDENT,IMAM ABDULLAH TEPOYAK,MALE,,238,LOST DEPOSIT,INDEPENDENT,CHE GU HAJI AWANG,MALE,,222,LOST DEPOSIT
P.91_NO. 14,KELANTAN,P.91,PASIR MAS HILIR,NO. 14,MERANTI,PMIP,,6908,4649,77.63,5363,,34,5329,UMNO,YUSOF B. MAT AKIB,MALE,,340,LOST DEPOSIT,,,,,,,PMIP,NIK MAN,MALE,,4989,,,,,,,,,,,,,,,,,,,,,,,,,
P.91_NO. 15,KELANTAN,P.91,PASIR MAS HILIR,NO. 15,BANDAR PASIR MAS,PMIP,,7437,1942,74.20,5518,,61,5457,UMNO,CHE HASSAN B. HAJI ISMAIL,MALE,,1715,,,,,,,,PMIP,CHE GU OMAR,MALE,,3657,,,,,,,,NEGARA,DATOK LANKAMIN,MALE,,85,LOST DEPOSIT,,,,,,,,,,,,
P.92_NO. 16,KELANTAN,P.92,PASIR MAS HULU,NO. 16,LEMAL,PMIP,,5916,2297,77.64,4593,,99,4494,UMNO,OMAR B. HJ. AHMAD,MALE,,1070,,PRM,MAT S.O.,MALE,,57,LOST DEPOSIT,PMIP,TUAN GURU HAJI HARON,MALE,,3367,,,,,,,,,,,,,,,,,,,,,,,,,
P.92_NO. 17,KELANTAN,P.92,PASIR MAS HULU,NO. 17,TOK UBAN,PMIP,,7036,3206,80.14,5639,,67,5572,UMNO,YAACOB B. AWANG,MALE,,1183,,,,,,,,PMIP,USTAZ ABDULLAH,MALE,,4389,,,,,,,,,,,,,,,,,,,,,,,,,
P.92_NO. 18,KELANTAN,P.92,PASIR MAS HULU,NO. 18,RANTAU PANJANG,PMIP,,5412,1280,72.01,3897,,69,3828,UMNO,NIK YUSOFF B. NIK LODIN,MALE,,1241,,,,,,,,PMIP,ABDUL RAHMAN HJ. DAUD,MALE,,2521,,,,,,,,NEGARA,GELAP PAK WEL,MALE,,66,LOST DEPOSIT,,,,,,,,,,,,
P.93_NO. 19,KELANTAN,P.93,TUMPAT,NO. 19,TUMPAT BARAT,PMIP,,7919,3191,69.04,5467,,95,5372,UMNO,OTHMAN B. MOHAMMAD UDIN,MALE,,1017,,,,,,,,PMIP,TUAN GURU HAJI DAUD,MALE,39,4208,,,,,,,,,,,,,,INDEPENDENT,IBRAHIM TUNGGAL,MALE,,147,LOST DEPOSIT,,,,,,
P.93_NO. 20,KELANTAN,P.93,TUMPAT,NO. 20,TUMPAT TENGAH,PMIP,,8370,53,70.26,5881,,119,5762,MCA,FOO CHOW YONG,MALE,,2200,,LPM,C.W. SOOK,MALE,,341,LOST DEPOSIT,PMIP,MUSTAPHA AWANG,MALE,,2253,,,,,,,,NEGARA,YAHYA BIN ABDULLAH,MALE,,968,,,,,,,,,,,,,
P.93_NO. 21,KELANTAN,P.93,TUMPAT,NO. 21,TUMPAT TIMOR,PMIP,,8094,715,78.09,6321,,98,6223,UMNO,HAJI WAN IDRIS HAJI TAIB,MALE,,2754,,,,,,,,PMIP,CHE ISHAK MUSTAPHA,MALE,,3469,,,,,,,,,,,,,,,,,,,,,,,,,
P.94_NO. 22,KELANTAN,P.94,KELANTAN HILIR,NO. 22,KUALA KELANTAN,PMIP,,7345,1375,73.63,5408,,151,5257,UMNO,NIK HASSAN B. NIK HUSSAIN,MALE,,1405,,,,,,,,PMIP,WAN YUSOF B. WAN YA'ACOB,MALE,,2780,,,,,,,,NEGARA,HJ. ABDUL KARIM B. HJ. A. MALEK,MALE,,1072,,,,,,,,,,,,,
P.94_NO. 23,KELANTAN,P.94,KELANTAN HILIR,NO. 23,KOTA BHARU UTARA,PMIP,,8014,2164,75.37,6040,,122,5918,UMNO,CHE HALIMAH BT. IDRIS,FEMALE,,1061,,PRM,HAJI WAN DOLLAH,MALE,,169,LOST DEPOSIT,PMIP,ABDULLAH AHMAD,MALE,,3426,,,,,,,,NEGARA,YUSOFF BASHAH,MALE,,1262,,,,,,,,,,,,,
P.94_NO. 24,KELANTAN,P.94,KELANTAN HILIR,NO. 24,KOTA BHARU PANTAI,PMIP,,8616,3215,74.29,6401,,114,6287,UMNO,ABU BAKAR MOHD. AL-AHMADI,MALE,,1222,,PRM,CHE WIL @ GAN TI WAH,,,207,LOST DEPOSIT,PMIP,NIK ABDULLAH HAJI ARSHAD,MALE,,4437,,,,,,,,NEGARA,MOHAMED B. HAJI ABDULLAH,MALE,,421,LOST DEPOSIT,,,,,,,,,,,,
P.95_NO. 25,KELANTAN,P.95,KOTA BHARU HILIR,NO. 25,BANDAR HILIR,ALLIANCE - MCA,,7497,1282,70.56,5290,,35,5255,MCA,WEE KHOON HECK,MALE,,3027,,PRM,NIK MAT DATO' AMAR,MALE,,369,LOST DEPOSIT,PMIP,HAJI NIK ADEEB,MALE,,1745,,,,,,,,NEGARA,CHE MOHAMED B. AWANG,MALE,,99,LOST DEPOSIT,INDEPENDENT,NIK MAHMOOD B. N. A. MAJID,MALE,,15,LOST DEPOSIT,,,,,,
P.95_NO. 26,KELANTAN,P.95,KOTA BHARU HILIR,NO. 26,BANDAR HULU,PMIP,,8563,1272,65.34,5595,,78,5517,UMNO,HAMID HAJI YA'ACOB,MALE,,1977,,,,,,,,PMIP,HAJI CHE MUDA,MALE,,3249,,,,,,,,NEGARA,HASNAH YUSOF,FEMALE,,204,LOST DEPOSIT,INDEPENDENT,IDRIS B. HAJI MOHAMED,MALE,,87,LOST DEPOSIT,,,,,,
P.95_NO. 27,KELANTAN,P.95,KOTA BHARU HILIR,NO. 27,KOTA BHARU TENGAH,PMIP,,8118,3151,76.51,6211,,129,6082,UMNO,HASSAN HJ. YA'ACOB,MALE,,1206,,PRM,NOOR PROL,MALE,,118,LOST DEPOSIT,PMIP,MOHD. ASRI,MALE,36,4357,,,,,,,,NEGARA,USTAZ SALLEH B. DAUD,MALE,,401,LOST DEPOSIT,,,,,,,,,,,,
P.96_NO. 28,KELANTAN,P.96,KOTA BHARU HULU,NO. 28,KOTA BHARU TIMOR,PMIP,,9158,3704,76.47,7003,,138,6865,UMNO,CHE GU MAT HAJI ALI,MALE,,1399,,PRM,TUAN MAN B. TUAN SALLEH,MALE,,134,LOST DEPOSIT,PMIP,SAUFI IDRIS,MALE,,5103,,,,,,,,NEGARA,ISMAIL B. DAUD,MALE,,229,LOST DEPOSIT,,,,,,,,,,,,
P.96_NO. 29,KELANTAN,P.96,KOTA BHARU HULU,NO. 29,KOTA BHARU SELATAN,PMIP,,8969,3707,76.90,6897,,67,6830,UMNO,NIK HASSAN B. NIK YAHYA,MALE,,1334,,PRM,CHE GU NOOR,MALE,,306,LOST DEPOSIT,PMIP,HAJI ISHAK LOFTI,MALE,42,5041,,,,,,,,NEGARA,CHE GU DERAHMAN,MALE,,49,LOST DEPOSIT,INDEPENDENT,HJ. ABDUL MAJID B. HJ. IBRAHIM,MALE,,100,LOST DEPOSIT,,,,,,
P.96_NO. 30,KELANTAN,P.96,KOTA BHARU HULU,NO. 30,KOTA BHARU BARAT,PMIP,,9294,4506,78.33,7280,,137,7143,UMNO,HAJI ZAID,MALE,,920,,PRM,USTAZ WAN SEMAIL,MALE,,358,LOST DEPOSIT,PMIP,AB. RAHMAN AWANG SULONG,MALE,,5426,,,,,,,,NEGARA,HAJI OSMAN B. SAMAN,MALE,,439,LOST DEPOSIT,,,,,,,,,,,,
