STATE,POLICE,ARMY,ABSENT VOTERS,TOTAL POSTAL VOTERS
PERLIS,1240,1493,6,2739
KEDAH,8890,6347,24,15261
KELANTAN,8319,3581,9,11909
TERENGGANU,2124,3576,9,5709
PULAU PINANG,4084,3707,11,7802
PERAK,30301,12987,293,43581
PAHANG,12789,5727,32,18548
SELANGOR,6804,7042,8,13854
WILAYAH PERSEKUTUAN KUALA LUMPUR,20617,10011,203,30831
NEGERI SEMBILAN,9295,4374,8,13677
MELAKA,10964,1857,19,12840
JOHOR,12620,7177,89,19886
WILAYAH PERSEKUTUAN LABUAN,2786,179,0,2965
SABAH,6891,6398,0,13289
SARAWAK,13241,8783,11,22035
