UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.053,PULAU PINANG,P.053,BALIK PULAU,BN - UMNO,,49641,1539,88.18,43773,64,612,43097,UMNO,DATO’ SERI DR. HJ. HILMI BIN HJ. YAHAYA,MALE,,22318,,PKR,HJ. BAKHTIAR WAN CHIK,MALE,,20779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.054,PERAK,P.054,GERIK,BN - UMNO,,32725,6216,83.77,27414,306,494,26614,UMNO,DATO HASBULLAH OSMAN,MALE,,16415,,,,,,,,PAS,NORHAYATI BINTI KASIM,FEMALE,,10199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.055,PERAK,P.055,LENGGONG,BN - UMNO,,27950,4161,84.92,23736,251,368,23117,UMNO,SHAMSUL ANUAR NASARAH,MALE,,13639,,,,,,,,PAS,HJ RAZMAN BIN ZAKARIA,MALE,,9478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056,PERAK,P.056,LARUT,BN - UMNO,,46577,5296,86.09,40100,171,579,39350,UMNO,DATO HAMZAH ZAINUDIN,MALE,,22184,,,,,,,,PAS,DATO’ FAUZI SA’ARI,MALE,,16888,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,RAVE,MALE,,278,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.057,PERAK,P.057,PARIT BUNTAR,PR - PAS,,51422,8476,86.16,44306,134,618,43554,UMNO,MUA’AMAR GHADAFI JAMAL,MALE,,17539,,,,,,,,PAS,DATO’ DR MUJAHID YUSOF RAWA,MALE,,26015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.058,PERAK,P.058,BAGAN SERAI,BN - UMNO,,54792,1140,84.65,46384,71,1096,45217,UMNO,DR NOOR AZMI,MALE,,23014,,PKR,MUHAMMAD NUR MANUTY,MALE,,21874,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TELEPHONE,HJ. ABDUL LATIFF B. DATO’ MAS’UD,MALE,,329,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.059,PERAK,P.059,BUKIT GANTANG,PR - PAS,,71257,986,85.63,61018,130,748,60140,UMNO,DATO’ ISMAIL SAFFIAN,MALE,,29577,,,,,,,,PAS,USTAZ IDRIS BIN AHMAD,MALE,,30563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.060,PERAK,P.060,TAIPING,PR - DAP,,78148,11745,81.78,63913,164,944,62805,GERAKAN,DATO’ TAN LIAN HOE,FEMALE,,25530,,DAP,NGA KOR MING,MALE,,37275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.061,PERAK,P.061,PADANG RENGAS,BN - UMNO,,28518,2230,84.96,24230,40,410,23780,UMNO,DATO SERI MOHAMED NAZRI BIN ABDUL AZIZ,MALE,,13005,,PKR,DR MEOR AHMAD,MALE,,10775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.062,PERAK,P.062,SUNGAI SIPUT,PR - PKR,,51596,2793,80.66,41617,45,982,40590,MIC,S.K DEVAMANY,MALE,,18800,,PKR,DR KUMAR,MALE,,21593,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - SAMPAN,S.P NAGALINGAM,MALE,,197,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.063,PERAK,P.063,TAMBUN,BN - UMNO,,89435,9325,85.29,76275,218,1196,74861,UMNO,DATO’ SERI HAJI HUSNI HANADZLAH,MALE,,42093,,PKR,SITI AISHAH,FEMALE,,32768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.064,PERAK,P.064,IPOH TIMOR,PR - DAP,,81818,34000,79.71,65217,211,834,64172,MCA,KATHLEEN WONG MEI YIN,FEMALE,,15086,,DAP,SU KEONG SIONG,MALE,,49086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.065,PERAK,P.065,IPOH BARAT,PR - DAP,,77761,29038,81.11,63074,162,875,62037,MCA,DR. CHENG WEI YEE,MALE,,16382,,DAP,M. KULA,MALE,,45420,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HORSE,KALWANT SINGH,MALE,,235,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.066,PERAK,P.066,BATU GAJAH,PR - DAP,,87587,38410,80.23,70270,174,966,69130,MCA,LOO THIN TUCK,MALE,,15360,,DAP,V. SIVAKUMAR,MALE,,53770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.067,PERAK,P.067,KUALA KANGSAR,BN - UMNO,,33540,1082,84.33,28283,75,407,27801,UMNO,DATO WAN KHAIR-IL ANUAR,MALE,,14218,,,,,,,,PAS,DRS. KHALIL IDHAM LIM,MALE,,13136,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,KAMILIA IBRAHIM,FEMALE,,447,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.068,PERAK,P.068,BERUAS,PR - DAP,,49205,5057,80.45,39586,78,687,38821,GERAKAN,DATO CHANG KO YOUN,MALE,,16882,,DAP,NGEH KOO HAM,MALE,,21939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.069,PERAK,P.069,PARIT,BN - UMNO,,33503,4497,85.40,28613,72,532,28009,UMNO,DATO' HAJI MOHD ZAIM,MALE,,16253,,,,,,,,PAS,UST. MUHD ISMI BIN MAT TAIB ,MALE,,11756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.070,PERAK,P.070,KAMPAR,PR - DAP,,63619,5400,77.45,49272,126,820,48326,MCA,LEE CHEE LEONG,MALE,,21463,,DAP,KO CHUNG SEN,MALE,,26863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.071,PERAK,P.071,GOPENG,PR - PKR,,97092,15309,83.88,81442,179,1456,79807,MCA,TAN CHIN MENG,MALE,,32249,,PKR,DR LEE BOON CHYE,MALE,,47558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.072,PERAK,P.072,TAPAH,BN - MIC,,45485,7927,81.25,36957,102,1052,35803,MIC,DATUK M. SARAVANAN,MALE,,20670,,PKR,VASANTHA KUMAR K,MALE,,12743,,,,,,,,BERJASA,USTAZ SHAHARUZZAMAN,MALE,,2053,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - TREE,RIDZUAN,MALE,,337,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.073,PERAK,P.073,PASIR SALAK,BN - UMNO,,51498,7386,84.53,43533,161,1008,42364,UMNO,DATO’ HAJI TAJUDDIN BIN ABDUL RAHMAN,MALE,,24875,,PKR,MUSTAFFA KAMIL AYUB,MALE,,17489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.074,PERAK,P.074,LUMUT,PR - PKR,,88300,8168,83.53,73756,175,1133,72448,MCA,KONG CHO HA,MALE,,32140,,PKR,LAKSAMANA PERTAMA (B) HJ. IMRAN ABD. HAMID,MALE,,40308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.075,PERAK,P.075,BAGAN DATOK,BN - UMNO,,39924,2108,82.83,33069,109,716,32244,UMNO,DATO’ SERI DR. AHMAD ZAHID HAMIDI,MALE,,17176,,PKR,MADHI HAJI HASAN,MALE,,15068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.076,PERAK,P.076,TELOK INTAN,PR - DAP,,60483,7313,80.75,48839,190,885,47764,GERAKAN,MAH SIEW KEONG,MALE,,20086,,DAP,SEAH LEONG PENG,MALE,,27399,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,MURAALIE KANAN,MALE,,279,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.077,PERAK,P.077,TANJONG MALIM,BN - MCA,,64499,4328,82.79,53399,162,1115,52122,MCA,DATO' SERI ONG KA CHUAN,MALE,,28225,,PKR,TAN YEE KEW,FEMALE,,23897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.078,PAHANG,P.078,CAMERON HIGHLANDS,BN - MIC,,27980,462,81.32,22754,6,877,21871,MIC,DATUK SERI G. PALANIVEL ,MALE,64,10506,,DAP,M. MANOGARAN,MALE,54,10044,,,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,912,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,101,LOST DEPOSIT,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,308,LOST DEPOSIT,,,,,,,,,,,,
P.079,PAHANG,P.079,LIPIS,BN - UMNO,,32324,3469,83.92,27126,140,426,26560,UMNO,ABDUL RAHMAN,MALE,,14863,,,,,,,,PAS,MOHD MAHYUDDIN BIN GHAZAL @ RAZALI,MALE,,11394,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,AISHATON ABU BAKAR,FEMALE,,303,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.080,PAHANG,P.080,RAUB,PR - DAP,,54214,2814,83.11,45059,116,927,44016,MCA,DATO’ HOH KHAI MUN,MALE,,20601,,DAP,DATO ARIFF SABRI BIN ABDUL AZIZ,MALE,,23415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.081,PAHANG,P.081,JERANTUT,BN - UMNO,,58364,4532,84.98,49600,139,905,48556,UMNO,AHMAD NAZLAN BIN IDRIS,MALE,,26544,,,,,,,,PAS,DR. HAMZAH,MALE,,22012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.082,PAHANG,P.082,INDERA MAHKOTA,PR - PKR,,64219,7523,85.23,54737,210,689,53838,UMNO,DATO’ WAN ADNAN BIN WAN MAMAT,MALE,,23061,,PKR,DATO’ FAUZI ABDUL RAHMAN,MALE,,30584,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,RAM PONUSAMY,MALE,,193,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.083,PAHANG,P.083,KUANTAN,PR - PKR,,56280,4515,85.04,47858,135,570,47153,UMNO,MOHAMED SUFFIAN BIN AWANG,MALE,,21319,,PKR,FUZIAH BINTI SALLEH,FEMALE,,25834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.084,PAHANG,P.084,PAYA BESAR,BN - UMNO,,48067,7715,84.95,40834,140,643,40051,UMNO,ABDUL MANAN BIN ISMAIL,MALE,,23747,,PKR,MURNIE HIDAYAH,FEMALE,,16032,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,HAJI ZAHARI,MALE,,272,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.085,PAHANG,P.085,PEKAN,BN - UMNO,,80260,35613,85.30,68464,246,1275,66943,UMNO,MOHD NAJIB TUN ABD RAZAK,MALE,,51278,,PKR,FARIZ MUSA,MALE,,15665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.086,PAHANG,P.086,MARAN,BN - UMNO,,38436,6475,85.21,32750,155,572,32023,UMNO,DATO’ HAJI ISMAIL BIN ABD MUTTALIB,MALE,,19249,,,,,,,,PAS,USTAZ MUJIBUR RAHMAN,MALE,,12774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.087,PAHANG,P.087,KUALA KRAU,BN - UMNO,,43003,6205,87.58,37663,115,603,36945,UMNO,DATO’ HAJI ISMAIL BIN HAJI MOHAMED SAID,MALE,,21575,,,,,,,,PAS,USTAZ SHAHRIL AZMAN BIN ABDUL HALIM AL-HAFIZ,MALE,,15370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.088,PAHANG,P.088,TEMERLOH,PR - PAS,,66105,1070,85.61,56595,154,977,55464,UMNO,DATO’ SAIFUDDIN ABDULLAH,MALE,,27197,,,,,,,,PAS,USTAZ NASRUDIN TANTAWI,MALE,,28267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.089,PAHANG,P.089,BENTONG,BN - MCA,,62266,379,84.52,52628,125,988,51515,MCA,LIOW TIONG LAI,MALE,,25947,,DAP,WONG TACK,MALE,,25568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.090,PAHANG,P.090,BERA,BN - UMNO,,50997,2143,84.21,42944,114,965,41865,UMNO,ISMAIL SABRI BIN YAAKOB,MALE,,21669,,PKR,ZAKARIA BIN ABDUL HAMID,MALE,,19526,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CHAIR,MOHD WALI AHMAD,MALE,,670,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.091,PAHANG,P.091,ROMPIN,BN - UMNO,,53596,15114,85.85,46014,165,883,44966,UMNO,DATO’ SRI DR. HAJI JAMALUDIN BIN DATO’ JARJIS,MALE,,30040,,,,,,,,PAS,USTAZAH NURIDAH,FEMALE,,14926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.092,SELANGOR,P.092,SABAK BERNAM,BN - UMNO,,37318,1890,85.37,31859,153,576,31130,UMNO,MOHD FASIAH BIN MOHD FAKEH,MALE,,16510,,PKR,DR ABDUL AZIZ BARI,MALE,,14620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.093,SELANGOR,P.093,SUNGAI BESAR,BN - UMNO,,42837,399,88.26,37810,129,690,36991,UMNO,NORIAH BINTI KASNON,FEMALE,,18695,,,,,,,,PAS,CIKGU SALLEH HUSIN,MALE,,18296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.094,SELANGOR,P.094,HULU SELANGOR,BN - MIC,,85697,3414,87.65,75113,166,1451,73496,MIC,P.KAMALANATHAN,MALE,,37403,,PKR,KHALID JAAFAR,MALE,,33989,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,DATO’ SRI DR. SANTHARA KUMAR,MALE,,999,LOST DEPOSIT,INDEPENDENT - TREE,RADZALI MOKHTAR,MALE,,1105,LOST DEPOSIT,,,,,,,,,,,,
P.095,SELANGOR,P.095,TANJONG KARANG,BN - UMNO,,42333,4394,89.22,37768,92,634,37042,UMNO,DATUK SERI NOH BIN OMAR,MALE,,20548,,,,,,,,PAS,CIKGU RASHDI,MALE,,16154,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,HERMAN TINO,MALE,,340,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.096,SELANGOR,P.096,KUALA SELANGOR,BN - UMNO,,62298,460,89.24,55592,118,934,54540,UMNO,IRMOHIZAM BIN IBRAHIM,MALE,,27500,,,,,,,,PAS,DR HJ DZULKEFLY AHMAD,MALE,,27040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.097,SELANGOR,P.097,SELAYANG,PR - PKR,,105895,17958,87.38,92528,213,1435,90880,MCA,DATO DONALD LIM SIANG CHAI,MALE,,34385,,PKR,WILLIAM LEONG JEE KEEN,MALE,,52343,,,,,,,,BERJASA,USTAZ HAJI MOHD HAZIZI,MALE,,4152,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.098,SELANGOR,P.098,GOMBAK,PR - PKR,,123290,4734,86.90,107140,393,1353,105394,UMNO,DATUK DR RAHMAN ISMAIL,MALE,,50093,,PKR,AZMIN ALI,MALE,,54827,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CLOCK,DATO’ PADUKA SAID NAZAR,MALE,,474,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.099,SELANGOR,P.099,AMPANG,PR - PKR,,83135,13278,86.09,71574,176,738,70660,UMNO,DATUK DR. ROZAIDAH TALIB,FEMALE,,28691,,PKR,ZURAIDA KAMARUDDIN,FEMALE,,41969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.100,SELANGOR,P.100,PANDAN,PR - PKR,,83857,26729,87.32,73228,153,1023,72052,MCA,LIM CHIN YEE,MALE,,21454,,PKR,RAFIZI RAMLI,MALE,,48183,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,ALLAN TAN,MALE,,2415,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.101,SELANGOR,P.101,HULU LANGAT,PR - PAS,,127347,17267,88.62,112856,534,1335,110987,UMNO,ADZHALIZA BINTI MOHD NOR,FEMALE,,46860,,,,,,,,PAS,DR. CHE ROSLI BIN CHE MAT,MALE,,64127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.102,SELANGOR,P.102,SERDANG,PR - DAP,,133139,42206,88.88,118339,291,1778,116270,MCA,YAP PIAN HON,MALE,,37032,,DAP,DR ONG KIAN MING,MALE,,79238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.103,SELANGOR,P.103,PUCHONG,PR - DAP,,107010,32802,88.34,94529,194,1261,93074,GERAKAN,A. KOHILAN PILLAY,MALE,,30136,,DAP,GOBIND SINGH DEO,MALE,,62938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.104,SELANGOR,P.104,KELANA JAYA,PR - PKR,,101236,28827,85.44,86497,210,1171,85116,MCA,LOH SENG KOK,MALE,,27963,,PKR,WONG CHEN,MALE,,56790,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,TOH SIN WAH,MALE,,363,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.105,SELANGOR,P.105,PETALING JAYA SELATAN,PR - PKR,,79558,19216,82.11,65323,138,830,64355,MCA,SHEAH KOK FAH,MALE,,21846,,PKR,HEE LOY SIAN,MALE,,41062,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,IBRAHIM KHATIB,MALE,,1447,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.106,SELANGOR,P.106,PETALING JAYA UTARA,PR - DAP,,85401,44672,82.82,70727,113,472,70142,MCA,CHEW HOONG LING,FEMALE,,12735,,DAP,TONY PUA KIAM WEE,MALE,,57407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.107,SELANGOR,P.107,SUBANG,PR - PKR,,128543,26719,87.86,112937,319,1669,110949,MIC,A. PRAKASH RAO,MALE,,39549,,PKR,R. SIVARASA,MALE,,66268,,,,,,,,BERJASA,USTAZ MOHAMAD,MALE,,4454,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - PEN,NAZARUDDIN,MALE,,460,LOST DEPOSIT,INDEPENDENT - AEROPLANE,EDROS,MALE,,218,LOST DEPOSIT,,,,,,,,,,,,
P.108,SELANGOR,P.108,SHAH ALAM,PR - PAS,,99957,10939,88.17,88128,186,863,87079,BN DIRECT,ZULKIFLI BIN NOORDIN,MALE,,38070,,,,,,,,PAS,KHALID BIN ABD SAMAD,MALE,,49009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.109,SELANGOR,P.109,KAPAR,PR - PKR,,144159,23790,88.11,127023,314,2379,124330,MIC,SAKTHIVELL,MALE,,46059,,PKR,MANIVANAN GOWIN,MALE,,69849,,,,,,,,BERJASA,USTAZ HAJI MOHD PATHAN HUSSIN,MALE,,6289,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,HAMZAH JAWA MERU,MALE,,1067,LOST DEPOSIT,INDEPENDENT - PEN,MOHD NAZRI BIN ABDUL AZIZ,MALE,,835,LOST DEPOSIT,INDEPENDENT - TREE,PALAYA,MALE,,231,LOST DEPOSIT,,,,,,
P.110,SELANGOR,P.110,KLANG,PR - DAP,,97073,24685,86.76,84219,124,1342,82753,MCA,TEH KIM POO,MALE,,29034,,DAP,CHARLES SANTIAGO,MALE,,53719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
