COALITION,PARTY/ INDEPENDENTS,FEMALE,MALE,TOTAL CANDIDATES
BN,MCA,5,21,26
BN,MIC,0,4,4
BN,MMSP,1,0,1
BN,UMNO,14,71,85
PH,AMANAH,4,36,40
PH,DAP,7,21,28
PH,PKR,9,38,47
PN,GERAKAN,1,13,14
PN,PAS,3,53,56
PN,PPBM,5,41,46
GTA,BERJASA,1,0,1
GTA,PEJUANG,4,36,40
GTA,PUTRA,0,3,3
,WARISAN,2,15,17
,PBM,0,1,1
,PRM,0,1,1
,PSM,1,0,1
,INDEPENDENTS,2,21,23
GRAND TOTAL,,59,375,434
